University,Company,TotalScore,FreqScore,RecencyScore,DepthScore,IPCScore,DivScore,CitationCount,UniquePatents,LatestDate,MinDepth
(유)에스와이,(유)에스와이; 한국건설기술연구원,45.54,31.2,47.24,100.0,12.5,25,1,1,,1
(의료)길의료재단; 가천대학교,로엔서지컬; 한국과학기술원,64.89,93.6,47.24,100.0,16.67,25,3,1,,1
(의료)길의료재단; 가천대학교,한국생명공학연구원; 바이오텐,58.65,62.4,47.24,100.0,37.5,25,2,1,,1
(의료)길의료재단; 가천대학교,한국과학기술원,54.9,62.4,47.24,100.0,12.5,25,2,1,,1
(의료)길의료재단; 가천대학교,한국과학기술연구원,45.43,31.2,47.24,100.0,11.76,25,1,1,,1
(재)한국건설생활환경시험연구원; 서울대학교,한국과학기술원,47.95,31.2,47.24,100.0,28.57,25,1,1,,1
(주) 글루시스; 세종대학교,안랩; 한국서부발전; 한국전자통신연구원,43.67,31.2,47.24,100.0,0.0,25,1,1,,1
(주) 나노기술; 신라대학교,한국과학기술연구원,64.31,100.0,47.24,100.0,0.0,25,4,1,,1
(주) 미디어인터랙티브; 서울대학교,한국화학연구원,53.03,62.4,47.24,100.0,0.0,25,2,1,,1
(주) 비앤디; 영남대학교,한국전자통신연구원,44.92,31.2,47.24,100.0,8.33,25,1,1,,1
(주) 서한케어; 한국공학대학교,한국과학기술원,54.1,62.4,47.24,100.0,7.14,25,2,1,,1
(주) 시온텍; 국립금오공과대학교,한국화학연구원,45.81,31.2,47.24,100.0,14.29,25,1,1,,1
(주) 시온텍; 서울대학교,테크로스; 한국과학기술연구원,66.14,93.6,47.24,100.0,25.0,25,3,1,,1
(주) 시온텍; 서울대학교,한국과학기술연구원,48.67,31.2,47.24,100.0,33.33,25,1,1,,1
(주) 쓰리샤인,한국화학연구원,69.89,93.6,47.24,100.0,50.0,25,3,1,,1
(주) 쓰리샤인,한국생명공학연구원;제이에스바이오,57.31,62.4,47.24,100.0,28.57,25,2,1,,1
(주) 액트,한국원자력연구원,67.52,100.0,47.24,100.0,4.76,50,9,2,,1
(주) 액트,광주과학기술원,45.81,31.2,47.24,100.0,14.29,25,1,1,,1
(주) 에이에이치씨 시스템창,한국건설기술연구원;비룡씨에이치씨,66.14,93.6,47.24,100.0,25.0,25,3,1,,1
(주) 에이콘컴퍼니; 한양대학교,한국전자통신연구원,53.03,62.4,47.24,100.0,0.0,25,2,1,,1
(주) 엠큐브테크놀로지,재단법인대구경북과학기술원,46.48,31.2,47.24,100.0,18.75,25,1,1,,1
(주) 와이디생명과학; 서울대학교,한국생명공학연구원;엘지생활건강,65.12,93.6,47.24,100.0,18.18,25,3,1,,1
(주) 이즈테크놀로지; 국민대학교,한국전자통신연구원,44.82,31.2,47.24,100.0,7.69,25,1,1,,1
(주) 제일그린산업; 경상국립대학교,한국생명공학연구원,52.67,31.2,47.24,100.0,60.0,25,1,1,,1
(주) 지이오플랜트,한국과학기술연구원; 한국건설기술연구원,64.06,93.6,47.24,100.0,11.11,25,3,1,,1
(주) 지이오플랜트,한국기계연구원,46.4,31.2,47.24,100.0,18.18,25,1,1,,1
(주) 피토; 한국기술교육대학교,한국기계연구원,44.82,31.2,47.24,100.0,7.69,25,1,1,,1
(주) 한국유화; 국립부경대학교,한국기계연구원,43.67,31.2,47.24,100.0,0.0,25,1,1,,1
(주) 한길아이티; 경희대학교,한국과학기술원; 한국수력원자력,53.03,62.4,47.24,100.0,0.0,25,2,1,,1
(주) 휴마스; 국립한국교통대학교,한국과학기술원,45.54,31.2,47.24,100.0,12.5,25,1,1,,1
(주) 희림종합건축사사무소; 성균관대학교,한국과학기술원,47.76,31.2,47.24,100.0,27.27,25,1,1,,1
(주)경동엔지니어링,한국에너지기술연구원,53.03,62.4,47.24,100.0,0.0,25,2,1,,1
(주)경동엔지니어링,한국해양과학기술원,43.67,31.2,47.24,100.0,0.0,25,1,1,,1
(주)골든엔지니어링,한국건설기술연구원,58.65,62.4,47.24,100.0,37.5,25,2,1,,1
(주)굿게이트; (주)미디어그룹 사람과숲; 동신대학교,한국과학기술연구원,68.82,93.6,47.24,100.0,42.86,25,3,1,,1
(주)그린바이오; 가천대학교,한국식품연구원,49.92,31.2,47.24,100.0,41.67,25,1,1,,1
(주)금성보안; 가천대학교,한국건설기술연구원,64.89,93.6,47.24,100.0,16.67,25,3,1,,1
(주)나노인사이드; 경희대학교,광주과학기술원,44.92,31.2,47.24,100.0,8.33,25,1,1,,1
(주)네오플랜트; 전북대학교,한국에너지기술연구원,52.67,31.2,47.24,100.0,60.0,25,1,1,,1
(주)농예가; 충남대학교,한국화학연구원;대승바이오팜,66.89,93.6,47.24,100.0,30.0,25,3,1,,1
(주)농예가; 충남대학교,한국화학연구원,57.53,62.4,47.24,100.0,30.0,25,2,1,,1
(주)다미화학,다미화학; 한국생명공학연구원,72.39,93.6,47.24,100.0,66.67,25,3,1,,1
(주)다손; 경기대학교,한국식품연구원,45.54,31.2,47.24,100.0,12.5,25,1,1,,1
(주)대영오앤이,한국과학기술원,66.81,100.0,47.24,100.0,0.0,50,8,2,,1
(주)대우건설,한국건설기술연구원,66.31,100.0,47.24,100.0,13.33,25,6,1,,1
(주)대우건설,디엘; 한국건설기술연구원;에코니티,64.53,93.6,47.24,100.0,14.29,25,3,1,,1
(주)대우건설,옴니벤트; 한국건설기술연구원,63.33,93.6,47.24,100.0,6.25,25,3,1,,1
(주)대우건설; 성균관대학교,한국건설기술연구원,53.03,62.4,47.24,100.0,0.0,25,2,1,,1
(주)대우건설; 주식회사 코센; 성균관대학교,한국과학기술원,63.54,93.6,47.24,100.0,7.69,25,3,1,,1
(주)대우건설; 주식회사 코센; 성균관대학교,한국건설기술연구원,43.67,31.2,47.24,100.0,0.0,25,1,1,,1
(주)대우건설; 한경국립대학교,한국에너지기술연구원,53.91,62.4,47.24,100.0,5.88,25,2,1,,1
(주)대한하이텍건설; 서울과학기술대학교,한국건설기술연구원,47.42,31.2,47.24,100.0,25.0,25,1,1,,1
(주)도원엔지니어링건축사사무소,한국건설기술연구원,70.14,100.0,47.24,100.0,5.56,75,4,3,,1
(주)동명기술공단종합건축사사무소,한국건설기술연구원;젠텍엔지니어링,52.67,31.2,47.24,100.0,60.0,25,1,1,,1
(주)동호엔지니어링; 광운대학교,한국건설기술연구원,43.67,31.2,47.24,100.0,0.0,25,1,1,,1
(주)디엑스지,한국기계연구원,56.03,62.4,47.24,100.0,20.0,25,2,1,,1
(주)로보케어; 대구대학교,우리소프트; 재단법인대구경북과학기술원,53.03,62.4,47.24,100.0,0.0,25,2,1,,1
(주)마이크로디지탈; 한국공학대학교,한국건설기술연구원,47.0,31.2,47.24,100.0,22.22,25,1,1,,1
(주)마이크로디지탈; 한국공학대학교,한국표준과학연구원,43.67,31.2,47.24,100.0,0.0,25,1,1,,1
(주)맨엔텔; 국립경국대학교,울산과학기술원,45.54,31.2,47.24,100.0,12.5,25,1,1,,1
(주)미래컴퍼니; 고려대학교,울산과학기술원,56.78,62.4,47.24,100.0,25.0,25,2,1,,1
(주)바텍이우홀딩스,바텍; 한국과학기술원;바텍이우홀딩스,64.53,93.6,47.24,100.0,14.29,25,3,1,,1
(주)바텍이우홀딩스,한국과학기술원,53.03,62.4,47.24,100.0,0.0,25,2,1,,1
(주)바텍이우홀딩스,한국전기연구원,45.81,31.2,47.24,100.0,14.29,25,1,1,,1
(주)백년기술; 한국외국어대학교 연구,울산과학기술원,65.67,100.0,47.24,100.0,9.09,25,8,1,,1
(주)범우이앤알; 국립공주대학교,한국지질자원연구원,65.14,100.0,47.24,100.0,5.56,25,6,1,,1
(주)범창종합기술; 동아대학교,한국기계연구원,67.31,100.0,47.24,100.0,20.0,25,4,1,,1
(주)브이아이소프트,한국과학기술원;브이아이소프트,71.81,100.0,47.24,100.0,33.33,50,4,2,,1
(주)브이아이소프트,브이아이소프트; 한국과학기술원,56.03,62.4,47.24,100.0,20.0,25,2,1,,1
(주)브이아이소프트,한국과학기술원,50.34,31.2,47.24,100.0,44.44,25,1,1,,1
(주)브이아이소프트; 한국정보통신대학교,한국과학기술원,57.31,62.4,47.24,100.0,28.57,25,2,1,,1
(주)블라인드팩토리,한국건설기술연구원;블라인드팩토리,66.67,93.6,47.24,100.0,28.57,25,3,1,,1
(주)비락지엔비; 중원대학교,한국식품연구원,46.4,31.2,47.24,100.0,18.18,25,1,1,,1
(주)삼선씨에스에이,삼선씨에스에이; 한국건설기술연구원,68.03,62.4,47.24,100.0,100.0,25,2,1,,1
(주)삼우아이엠씨,한국건설기술연구원,63.75,93.6,47.24,100.0,9.09,25,3,1,,1
(주)삼우아이엠씨,삼우아이엠씨; 한국건설기술연구원,54.7,62.4,47.24,100.0,11.11,25,2,1,,1
(주)새롬바이오; 고려대학교,한국표준과학연구원,59.7,62.4,47.24,100.0,44.44,25,2,1,,1
(주)서돌전자통신; 한국교통연구원; 국립한국교통대학교,한국건설기술연구원,53.63,62.4,47.24,100.0,4.0,25,2,1,,1
(주)서현컨스텍,한국건설기술연구원,43.67,31.2,47.24,100.0,0.0,25,1,1,,1
(주)성환이앤씨; 국립부경대학교,한국건설기술연구원,65.46,100.0,47.24,100.0,7.69,25,8,1,,1
(주)세니츠코퍼레이션; 건국대학교,한국건설기술연구원; 한국기초과학지원연구원; 한국생산기술연구원; 한국화학연구원,64.89,93.6,47.24,100.0,16.67,25,3,1,,1
(주)세이프텍리서치,한국해양과학기술원,67.04,100.0,47.24,100.0,18.18,25,5,1,,1
(주)세이프텍리서치; 충남대학교,한국해양과학기술원,45.98,31.2,47.24,100.0,15.38,25,1,1,,1
(주)세화이에스,한국지질자원연구원,65.06,100.0,47.24,100.0,5.0,25,9,1,,1
(주)세화이에스,세화이에스; 한국지질자원연구원,45.54,31.2,47.24,100.0,12.5,25,1,1,,1
(주)셀트리온,한국과학기술원,43.67,31.2,47.24,100.0,0.0,25,1,1,,1
(주)솔라라이트; 동서대학교,한국전자통신연구원,45.54,31.2,47.24,100.0,12.5,25,1,1,,1
(주)수양켐텍; 중앙대학교,울산과학기술원,53.03,62.4,47.24,100.0,0.0,25,2,1,,1
(주)스마텍; 국립한밭대학교,한국기계연구원,57.12,62.4,47.24,100.0,27.27,25,2,1,,1
(주)씨엔원; 한양대학교 에리카,한국에너지기술연구원,54.28,62.4,47.24,100.0,8.33,25,2,1,,1
(주)씽크루트,한국과학기술원,43.67,31.2,47.24,100.0,0.0,25,1,1,,1
(주)씽크루트,한국기계연구원,43.67,31.2,47.24,100.0,0.0,25,1,1,,1
(주)아람솔루션; 전주대학교,한국과학기술원,55.53,62.4,47.24,100.0,16.67,25,2,1,,1
(주)아모레퍼시픽,한국과학기술원,55.4,62.4,47.24,100.0,15.79,25,2,1,,1
(주)아모레퍼시픽,한국전자통신연구원;테라리더,43.67,31.2,47.24,100.0,0.0,25,1,1,,1
(주)아모레퍼시픽; 동덕여자대학교,한국과학기술원,47.42,31.2,47.24,100.0,25.0,25,1,1,,1
(주)아모레퍼시픽; 성균관대학교,한국해양과학기술원,47.13,31.2,47.24,100.0,23.08,25,1,1,,1
(주)아모레퍼시픽; 조선대학교,코스맥스; 광주과학기술원,46.32,31.2,47.24,100.0,17.65,25,1,1,,1
(주)아스토; 한국기술교육대학교,한국과학기술연구원,67.39,93.6,47.24,100.0,33.33,25,3,1,,1
(주)아스토; 한국기술교육대학교,한국과학기술원,51.17,31.2,47.24,100.0,50.0,25,1,1,,1
(주)아스토; 한국기술교육대학교,한국기계연구원,48.67,31.2,47.24,100.0,33.33,25,1,1,,1
(주)알티에스에너지,한국전자통신연구원,48.67,31.2,47.24,100.0,33.33,25,1,1,,1
(주)에스엠인스트루먼트,한국해양과학기술원,43.67,31.2,47.24,100.0,0.0,25,1,1,,1
(주)에스엠테크,울산과학기술원,67.04,100.0,47.24,100.0,18.18,25,4,1,,1
(주)에스이피,한국에너지기술연구원,66.45,100.0,47.24,100.0,14.29,25,4,1,,1
(주)에이치시티; 연세대학교,한국기계연구원,53.03,62.4,47.24,100.0,0.0,25,2,1,,1
(주)에코베이스; 경기대학교,한국기계연구원,65.03,62.4,47.24,100.0,80.0,25,2,1,,1
(주)에코베이스; 경기대학교,재단법인대구경북과학기술원,53.03,62.4,47.24,100.0,0.0,25,2,1,,1
(주)에코비즈넷; 강원대학교,한국생명공학연구원,55.76,62.4,47.24,100.0,18.18,25,2,1,,1
(주)에코케미칼; 울산대학교,한국전자통신연구원,63.07,93.6,47.24,100.0,4.55,25,3,1,,1
(주)에코플럭스; 국립한밭대학교,울산과학기술원,62.39,93.6,47.24,100.0,0.0,25,3,1,,1
(주)엘라켐,한국표준과학연구원,54.28,62.4,47.24,100.0,8.33,25,2,1,,1
(주)엘켐텍; 부산대학교,테크로스; 한국과학기술연구원,63.74,62.4,47.24,100.0,71.43,25,2,1,,1
(주)오에치케이; 국립공주대학교,한국원자력연구원,55.68,62.4,47.24,100.0,17.65,25,2,1,,1
(주)오트로닉스; 서울대학교,한국지질자원연구원,54.28,62.4,47.24,100.0,8.33,25,2,1,,1
(주)오피아이; 단국대학교 천안캠퍼스,한국식품연구원,43.67,31.2,47.24,100.0,0.0,25,1,1,,1
(주)옵토레인; 국립금오공과대학교,울산과학기술원,57.31,62.4,47.24,100.0,28.57,25,2,1,,1
(주)와이파이브; 충남대학교,한국해양과학기술원,46.17,31.2,47.24,100.0,16.67,25,1,1,,1
(주)원우시스템즈; 광운대학교,한국에너지기술연구원,65.98,100.0,47.24,100.0,11.11,25,6,1,,1
(주)원우시스템즈; 광운대학교,한국기계연구원,55.17,62.4,47.24,100.0,14.29,25,2,1,,1
